stay mul,high request room,ind demand mul,obj,reject capacity ratio,time
0.250,2,0.5,1343069.142756185,0.6301889644746788,1650.3591342
0.250,2,1,1366233.7206840497,0.6589115646258503,27.537331779999658
0.250,2,2,1407197.9088764396,0.7250037792894936,27.1205615400002
0.250,0,0.5,1255196.2915341486,0.6424187452758882,22.279989079999723
0.250,0,1,1281884.6473585921,0.6734996220710506,21.948984739999652
0.250,0,2,1329347.3118217378,0.7432501889644747,20.481203180000012
0.250,5,0.5,1513488.5481090923,0.5925774754346184,39.64065186000007
0.250,5,1,1532663.9354201942,0.6155102040816327,36.550394959999906
0.250,5,2,1565142.0271015684,0.6660166288737717,35.40859001999998
0.200,2,0.5,1379717.8215386493,0.584126984126984,36.58158633999956
0.200,2,1,1399828.107184656,0.6203930461073318,34.27074868000018
0.200,2,2,1436224.2426696413,0.6955706727135299,32.852752140000305
0.200,0,0.5,1297091.8958676949,0.6053212394390658,27.83890329999995
0.200,0,1,1319400.9321535593,0.6434618291761149,26.609846860000108
0.200,0,2,1360462.5300689572,0.7230536659108087,25.050918920000914
0.200,5,0.5,1508401.5667635016,0.5851851851851853,46.2547084400001
0.200,5,1,1525479.7484230082,0.6180347694633409,45.25705944000001
0.200,5,2,1556948.3301584353,0.6745880574452003,42.246891100000354
0.143,2,0.5,1397530.2397139003,0.5859410432610201,46.86152794000045
0.143,2,1,1417318.6315931808,0.6234618289433123,43.382161739999354
0.143,2,2,1452789.4509904447,0.7007105064247922,42.43387943999987
0.143,0,0.5,1304299.6526668358,0.5977173089026478,41.48888155999994
0.143,0,1,1327447.431548608,0.6331216931216931,38.90225677999988
0.143,0,2,1369385.3393488335,0.7154950869236583,32.421416300000054
0.143,5,0.5,1530526.7693061088,0.5660922146636432,62.35122138000006
0.143,5,1,1547535.5583201922,0.6008465608465609,59.98347536000038
0.143,5,2,1577420.7017201842,0.6635827664399094,55.808092640000176
0.111,2,0.5,1420265.3978973657,0.5620710506424793,60.815629440000336
0.111,2,1,1438546.4618790504,0.6031141345427059,65.87240267999987
0.111,2,2,1473590.4368323977,0.6883749055177626,58.95167456000017
0.111,0,0.5,1317582.0616597785,0.5680120937608393,56.59930386000051
0.111,0,1,1338033.9768447434,0.6140438399057899,48.95961759999991
0.111,0,2,1378298.3700580162,0.708178382375112,49.64342742000008
0.111,5,0.5,1557660.1683663526,0.551247165585974,79.92700413999992
0.111,5,1,1571738.7419337383,0.5858654572940287,80.57113792000055
0.111,5,2,1598428.3585777811,0.6565532879818594,79.63879965999986
