stay mul,high request room,ind demand mul,obj,reject capacity ratio,time,#order 
0.048,0,0.5,1116190.109,1.561904762,183.6407309,870
0.048,0,1,1133884.374,1.614710884,102.1862223,870
0.048,0,2,1168506.754,1.72827381,136.4713771,870
0.048,5,0.5,1046740.845,1.644940476,158.1257694,2020
0.048,5,1,1078455.029,1.673384354,147.8839919,2020
0.048,5,2,1133996.753,1.755612245,148.9751388,2020
0.143,0,0.5,1089336.433,1.599702381,432.7207014,430
0.143,0,1,1110524.353,1.640136054,230.319011,430
0.143,0,2,1150120.862,1.738435374,47.970786,430
0.143,5,0.5,1016220.164,1.666454082,4495.491268,1010
0.143,5,1,1052535.558,1.688095238,441.5220237,1010
0.143,5,2,1113249.851,1.753146259,131.5119009,1010
0.5,0,0.5,987951.8008,1.722193878,13.8741887,180
0.5,0,1,1019403.523,1.765178571,14.08952755,180
0.5,0,2,1071981.716,1.836904762,13.6599103,180
0.5,5,0.5,970963.8788,1.721981293,43.9391767,360
0.5,5,1,1012659.232,1.736352041,28.84596175,360
0.5,5,2,1076313.337,1.794217687,28.96807205,360
